	anime	anime_name
85	devil-may-cry	Devil May Cry
86	devil-may-cry	Devil May Cry
87	slam-dunk	Slam Dunk
88	slam-dunk	Slam Dunk
89	aldnoah-zero-2015	Aldnoah Zero (2015)
90	aldnoah-zero-2015	Aldnoah Zero (2015)
91	hoshi-wo-ou-kodomo	Children Who Chase Lost Voices from Deep Below
92	hoshi-wo-ou-kodomo	Children Who Chase Lost Voices from Deep Below
93	hanamonogatari	Hanamonogatari
94	we-without-wings-under-the-innocent-sky	We, Without Wings - Under the Innocent Sky
95	we-without-wings-under-the-innocent-sky	We, Without Wings - Under the Innocent Sky
96	boku-wa-tomodachi-ga-sukunai	Boku wa Tomodachi ga Sukunai
97	boku-wa-tomodachi-ga-sukunai	Boku wa Tomodachi ga Sukunai
98	boku-wa-tomodachi-ga-sukunai	Boku wa Tomodachi ga Sukunai
99	kara-no-kyoukai-boukyaku-rokuon	Kara no Kyoukai Movie 6: Boukyaku Rokuon
100	accel-world-specials	Accel World Specials
101	blade	Blade
102	shigofumi	Shigofumi
103	ladies-versus-butlers	Ladies Versus Butlers!
104	ladies-versus-butlers	Ladies Versus Butlers!
105	rio-rainbow-gate	Rio: Rainbow Gate!
106	shikabane-hime-kuro	Shikabane Hime: Kuro
107	tokyo-godfathers	Tokyo Godfathers
108	tokyo-godfathers	Tokyo Godfathers
109	mujaki-no-rakuen	Mujaki no Rakuen
110	shiki	Shiki
111	shiki	Shiki
112	shiki	Shiki
113	shiki	Shiki
114	shiki	Shiki
115	shiki	Shiki
116	shiki	Shiki
117	shiki	Shiki
118	shiki	Shiki
119	all-purpose-cultural-cat-girl-nuku-nuku-dash	All Purpose Cultural Cat Girl Nuku Nuku Dash!
120	tytania	Tytania
121	galaxy-angel-a	Galaxy Angel A
122	sonic-x	Sonic X
123	the-idolmaster-cinderella-girls	The IDOLM@STER: Cinderella Girls
124	galaxy-angel-z	Galaxy Angel Z
125	popee-the-performer	Popee the Performer
126	popee-the-performer	Popee the Performer
127	telepathy-shoujo-ran	Telepathy Shoujo Ran
128	eien-no-aseria-spirit-of-eternity-sword	Eien no Aseria: Spirit of Eternity Sword
129	free-eternal-summer	Free! Eternal Summer
130	free-eternal-summer	Free! Eternal Summer
131	free-eternal-summer	Free! Eternal Summer
132	mahou-shoujo-madoka-magica-movie-2	Mahou Shoujo Madoka Magica Movie 2: Eien no Monogatari
133	009-1	009-1
134	009-1	009-1
135	akame-ga-kill-theater	Akame ga Kill! Theater
136	antique-heart	Antique Heart
137	hungry-heart-wild-striker	Hungry Heart - Wild Striker
138	sumiko-i-dont-like-your-attitude	Sumiko: I Don't Like Your Attitude
139	texhnolyze	Texhnolyze
140	texhnolyze	Texhnolyze
141	texhnolyze	Texhnolyze
142	texhnolyze	Texhnolyze
143	samurai-flamenco	Samurai Flamenco
144	samurai-flamenco	Samurai Flamenco
145	ouran-high-school-host-club	Ouran High School Host Club
146	ouran-high-school-host-club	Ouran High School Host Club
147	ouran-high-school-host-club	Ouran High School Host Club
148	ouran-high-school-host-club	Ouran High School Host Club
149	ouran-high-school-host-club	Ouran High School Host Club
150	ouran-high-school-host-club	Ouran High School Host Club
151	ouran-high-school-host-club	Ouran High School Host Club
152	ouran-high-school-host-club	Ouran High School Host Club
153	ouran-high-school-host-club	Ouran High School Host Club
154	ouran-high-school-host-club	Ouran High School Host Club
155	ouran-high-school-host-club	Ouran High School Host Club
156	ouran-high-school-host-club	Ouran High School Host Club
157	ouran-high-school-host-club	Ouran High School Host Club
158	other-worlds	Other Worlds
159	pretty-cure	Pretty Cure
160	digimon-adventure-tri-movie-1-saikai	Digimon Adventure Tri. Movie 1: Saikai
161	maria-sama-ga-miteru	Maria-sama ga Miteru
162	hidamari-sketch	Hidamari Sketch
163	hidamari-sketch	Hidamari Sketch
164	kimikiss-pure-rouge	Kimikiss Pure Rouge
165	kimikiss-pure-rouge	Kimikiss Pure Rouge
166	w-wish	W Wish
167	ghost-in-the-shell	Ghost in the Shell
168	ghost-in-the-shell	Ghost in the Shell
169	seiken-tsukai-no-world-break	Seiken Tsukai no World Break
170	seiken-tsukai-no-world-break	Seiken Tsukai no World Break
171	seiken-tsukai-no-world-break	Seiken Tsukai no World Break
172	sumomomo-momomo	Sumomomo Momomo
173	seikon-no-qwaser	Seikon no Qwaser
174	seikon-no-qwaser	Seikon no Qwaser
175	seikon-no-qwaser	Seikon no Qwaser
176	futari-ecchi	Futari Ecchi
177	final-fantasy-legend-of-the-crystals	Final Fantasy: Legend Of The Crystals
178	the-new-prince-of-tennis	The New Prince of Tennis
179	capricorn	Capricorn
180	saru-masamune	Saru Masamune
181	professor-layton-and-the-eternal-diva	Professor Layton and the Eternal Diva
182	kaichuu	Kaichuu!
183	mysterious-girlfriend-x	Mysterious Girlfriend X
184	mysterious-girlfriend-x	Mysterious Girlfriend X
185	sabagebu	Sabagebu!
186	happy-lesson	Happy Lesson
187	maison-ikkoku	Maison Ikkoku
188	ghost-stories	Ghost Stories
189	ghost-stories	Ghost Stories
190	legend-of-the-galactic-heroes-golden-wings	Legend of the Galactic Heroes: Golden Wings
191	the-disappearance-of-nagato-yuki-chan	The Disappearance of Nagato Yuki-chan
192	the-disappearance-of-nagato-yuki-chan	The Disappearance of Nagato Yuki-chan
193	joshiraku	Joshiraku
194	the-diary-of-tortov-roddle	The Diary of Tortov Roddle
195	galerians-rion	Galerians: Rion
196	pokemon	Pokemon
197	pokemon	Pokemon
198	pokemon	Pokemon
199	pokemon-pikachu-and-pichu	Pokemon: Pikachu and Pichu
200	anime-sanjushi	Anime Sanjushi
201	panda-go-panda-rainy-day-circus	Panda! Go Panda! Rainy Day Circus
202	photo-kano	Photo Kano
203	strange-dawn	Strange Dawn
204	blue-exorcist-kuros-trip-away-from-home	Blue Exorcist: Kuro's Trip Away From Home
205	seitokai-no-ichizon	Seitokai no Ichizon
206	seitokai-no-ichizon	Seitokai no Ichizon
207	seitokai-no-ichizon	Seitokai no Ichizon
208	chaika-the-coffin-princess-avenging-battle	Chaika: The Coffin Princess - AVENGING BATTLE
209	rahxephon	RahXephon
210	rahxephon	RahXephon
211	rahxephon	RahXephon
212	blue-dragon	Blue Dragon
213	ayanes-high-kick	Ayane's High Kick
214	ultraviolet-code-044	Ultraviolet: Code 044
215	super-dimensional-cavalry-southern-cross	Super Dimensional Cavalry Southern Cross
216	hanayaka-nari-waga-ichizoku	Hanayaka Nari, Waga Ichizoku
217	space-runaway-ideon	Space Runaway Ideon
218	aquarian-age	Aquarian Age
219	dragon-ball-z	Dragon Ball Z
220	dragon-ball-z	Dragon Ball Z
221	dragon-ball-z	Dragon Ball Z
222	dragon-ball-z	Dragon Ball Z
223	animal-crossing	Animal Crossing
224	berserk-golden-age-arc-ii-the-battle-for-doldrey	Berserk Golden Age Arc II: The Battle for Doldrey
225	macross-frontier	Macross Frontier
226	macross-frontier	Macross Frontier
227	juuou-mujin-no-fafnir	Juuou Mujin no Fafnir
228	usagichan-de-cue	Usagichan de Cue!!
229	interlude	Interlude
230	interlude	Interlude
231	banner-of-the-stars-ii	Banner of the Stars II
232	harukanaru-toki-no-naka-de-maihitoyo	Harukanaru Toki no Naka de ~Maihitoyo~
233	gyo	Gyo
234	gintama-jump-festa-2005	Gintama: Jump Festa 2005
235	the-testament-of-sister-new-devil	The Testament of Sister New Devil
236	ghost-talkers-daydream	Ghost Talker's Daydream
237	clannad	Clannad
238	clannad	Clannad
239	clannad	Clannad
240	clannad	Clannad
241	clannad	Clannad
242	clannad	Clannad
243	clannad	Clannad
244	clannad	Clannad
245	clannad	Clannad
246	clannad	Clannad
247	clannad	Clannad
248	clannad	Clannad
249	clannad	Clannad
250	clannad	Clannad
251	clannad	Clannad
252	digimon-season-3-tamers	Digimon Season 3: Tamers
253	shinryaku-ika-musume-2	Shinryaku!? Ika Musume
254	shiritsu-araiso-koutougakkou-seitokai-shikkoubu	Shiritsu Araiso Koutougakkou Seitokai Shikkoubu
255	mardock-scramble-the-third-exhaust	Mardock Scramble: The Third Exhaust
256	slayers-next	Slayers Next
257	slayers-next	Slayers Next
258	full-metal-panic-the-second-raid-ova	Full Metal Panic! The Second Raid OVA
259	steel-angel-kurumi-zero	Steel Angel Kurumi Zero
260	king-of-thorn	King of Thorn
261	king-of-thorn	King of Thorn
262	king-of-thorn	King of Thorn
263	peeping-life	Peeping Life
264	plastic-nee-san	Plastic Nee-san
265	plastic-nee-san	Plastic Nee-san
266	beyond-the-boundary-movie-ill-be-here-kako-hen	Beyond the Boundary Movie: I'll Be Here - Kako-hen
267	girls-und-panzer	Girls und Panzer
268	girls-und-panzer	Girls und Panzer
269	girls-und-panzer	Girls und Panzer
270	macademi-wasshoi	Macademi Wasshoi!
271	blade-of-the-phantom-master	Blade of the Phantom Master
272	andersen-douwa-ningyo-hime	Andersen Douwa - Ningyo Hime
273	one-piece-movie-6-baron-omatsuri-and-the-secret-island	One Piece Movie 6: Baron Omatsuri and the Secret Island
274	traveling-daru	Traveling Daru
275	nuraihyon-no-mago-sennen-makyou	Nurarihyon no Mago: Sennen Makyou
276	narue-no-sekai	Narue no Sekai
277	young-black-jack	Young Black Jack
278	yamada-kun-and-the-seven-witches-tv	Yamada-kun and the Seven Witches TV
279	future-war-year-198x	Future War Year 198X
280	omamori-himari	Omamori Himari
281	omamori-himari	Omamori Himari
282	kobe-to-watashi	Kobe to Watashi
283	machine-robo-revenge-of-chronos	Machine Robo: Revenge of Chronos
284	omae-umasou-da-na-movie	Omae Umasou da na Movie
285	pokemon-the-origin	Pokemon: The Origin
286	pokemon-the-origin	Pokemon: The Origin
287	shinigami-no-ballad	Shinigami no Ballad
288	ga-rei-zero	Ga-Rei -Zero-
289	ga-rei-zero	Ga-Rei -Zero-
290	ga-rei-zero	Ga-Rei -Zero-
291	ga-rei-zero	Ga-Rei -Zero-
292	black-rock-shooter-tv	Black Rock Shooter TV
293	black-rock-shooter-tv	Black Rock Shooter TV
294	black-rock-shooter-tv	Black Rock Shooter TV
295	black-rock-shooter-tv	Black Rock Shooter TV
296	aquatic	Aquatic
297	scryed	Scryed
298	scryed	Scryed
299	gosick	Gosick
300	gosick	Gosick
301	gosick	Gosick
302	gosick	Gosick
303	gosick	Gosick
304	gosick	Gosick
305	gosick	Gosick
306	monster-rancher	Monster Rancher
307	kamikaze-kaitou-jeanne	Kamikaze Kaitou Jeanne
308	mei-to-koneko-bus	Mei to Koneko Bus
309	recently-my-sister-is-unusual	Recently, My Sister is Unusual.
310	ichigo-100-jump-festa-2004	Ichigo 100% - Jump Festa 2004
311	dragon-ball-z-atsumare-goku-world	Dragon Ball Z: Atsumare! Goku World
312	boys-be	Boys Be
313	soul-eater-not	Soul Eater Not!
314	soul-eater-not	Soul Eater Not!
315	voices-of-a-distant-star	Voices of a Distant Star
316	voices-of-a-distant-star	Voices of a Distant Star
317	voices-of-a-distant-star	Voices of a Distant Star
318	voices-of-a-distant-star	Voices of a Distant Star
319	hanoka	Hanoka
320	towa-no-quon-5-souzetsu-no-raifuku	Towa no Quon 5: Souzetsu no Raifuku
321	to-aru-majutsu-no-index	To Aru Majutsu no Index
322	to-aru-majutsu-no-index	To Aru Majutsu no Index
323	to-aru-majutsu-no-index	To Aru Majutsu no Index
324	open-your-mind	Open Your Mind
325	ranma	Ranma 1/2
326	ranma	Ranma 1/2
327	colorful	Colorful
328	konjiki-no-gash-bell	Konjiki no Gash Bell!!
329	arakawa-under-the-bridge-x-bridge	Arakawa Under the Bridge x Bridge
330	vampire-wars	Vampire Wars
331	yobou-san-to-yoboushiyou	Yobou-san to Yoboushiyou
332	gundam-wing-endless-waltz	Gundam Wing: Endless Waltz
333	ginga-kikoutai-majestic-prince	Ginga Kikoutai Majestic Prince
334	avenger	Avenger
335	tenchi-the-movie-tenchi-muyo-in-love	Tenchi The Movie: Tenchi Muyo! In Love
336	dont-lose-makendo	Don't Lose, Makendo!
337	atashinchi	Atashinchi
338	zenki	Zenki
339	malice-doll	Malice@Doll
340	prison-school	Prison School
341	prison-school	Prison School
342	bus-gamer	Bus Gamer
343	lupin-the-3rd-secret-files	Lupin III: Secret Files
344	pokemon-movie-1-the-first-movie	Pokemon Movie 1: The First Movie
345	captain-herlock-outside-legend-the-endless-odyssey	Captain Herlock: Outside Legend - The Endless Odyssey
346	wake-up-girls	Wake Up, Girls!
347	diabolik-lovers-recap	Diabolik Lovers Recap
348	yondemasuyo-azazel-san-tv	Yondemasuyo Azazel-san TV
349	kamichu	Kamichu!
350	bar-kiraware-yasai	BAR Kiraware Yasai
351	valkyria-chronicles-specials	Valkyria Chronicles Specials
352	mahou-sensei-negima-mou-hitotsu-no-sekai	Mahou Sensei Negima! ~Mou Hitotsu no Sekai~
353	solty-rei	Solty Rei
354	he-is-my-master	He is My Master
355	aki-sora-yume-no-naka	Aki Sora: Yume no Naka
356	neo-ranga	Neo Ranga
357	the-perfect-insider	The Perfect Insider
358	fantastic-children	Fantastic Children
359	beck	Beck
360	beck	Beck
361	beck	Beck
362	beck	Beck
363	alfred-j-quack	Alfred J. Quack
364	cromartie-high-school	Cromartie High School
365	black-lion	Black Lion
366	the-wind-rises	The Wind Rises
367	anikuri-15	Ani*Kuri15
368	yozakura-quartet	Yozakura Quartet
369	ai-tenchi-muyo	Ai Tenchi Muyo!
370	kono-danshi-uchuujin-to-tatakaemasu	Kono Danshi, Uchuujin to Tatakaemasu.
371	x-the-movie	X: The Movie
372	puss-in-boots	Puss in Boots
373	saint-young-men-ova	Saint Young Men OVA
374	pale-cocoon	Pale Cocoon
375	pale-cocoon	Pale Cocoon
376	superbook	Superbook
377	sekirei-pure-engagement	Sekirei ~Pure Engagement~
378	sekirei-pure-engagement	Sekirei ~Pure Engagement~
379	gj-bu	GJ-bu
380	tenchi-muyo-ryo-ohki	Tenchi Muyo! Ryo-Ohki
381	training-with-hinako	Training with Hinako
382	training-with-hinako	Training with Hinako
383	training-with-hinako	Training with Hinako
384	fireball-charming	Fireball Charming
385	zero-no-tsukaima-futatsuki-no-kishi	Zero no Tsukaima: Futatsuki no Kishi
386	zero-no-tsukaima-futatsuki-no-kishi	Zero no Tsukaima: Futatsuki no Kishi
387	final-fantasy-vii-on-the-way-to-a-smile-episode-denzel	Final Fantasy VII: On the Way to a Smile, Episode: Denzel
388	street-fighter-iv-the-ties-that-bind	Street Fighter IV: The Ties That Bind
389	kekkaishi	Kekkaishi
390	kekkaishi	Kekkaishi
391	hyou-ka-ova	Hyou-ka OVA
392	chainsaw-maid	Chainsaw Maid
393	chainsaw-maid	Chainsaw Maid
394	k-on-2	K-On!!
395	k-on-2	K-On!!
396	ookiku-furikabutte-special	Ookiku Furikabutte Special
397	shuffle-memories	Shuffle! Memories
398	strawberry-panic	Strawberry Panic
399	strawberry-panic	Strawberry Panic
400	strawberry-panic	Strawberry Panic
401	taiyou-no-kiba-dougram	Taiyou no Kiba Dougram
402	tekkaman-blade-ii	Tekkaman Blade II
403	vividred-operation	Vividred Operation
404	kappa-no-coo-to-natsuyasumi	Kappa no Coo to Natsuyasumi
405	kimi-ga-nozomu-eien-next-season	Kimi ga Nozomu Eien ~Next Season~
406	mouse	Mouse
407	beautiful-bones-sakurakos-investigation	Beautiful Bones -Sakurako’s Investigation
408	brothers-conflict	Brothers Conflict
409	brothers-conflict	Brothers Conflict
410	dantalian-no-shoka	Dantalian no Shoka
411	dantalian-no-shoka	Dantalian no Shoka
412	accel-world	Accel World
413	accel-world	Accel World
414	accel-world	Accel World
415	accel-world	Accel World
416	accel-world	Accel World
417	accel-world	Accel World
418	accel-world	Accel World
419	ninja-nonsense	Ninja Nonsense
420	yamada-kun-and-the-seven-witches	Yamada-kun and the Seven Witches
421	blame-prologue	Blame! Prologue
422	karin	Karin
423	karin	Karin
424	cats-eye	Cat's Eye
425	hamatora	Hamatora
426	hamatora	Hamatora
427	overman-king-gainer	Overman King Gainer
428	one-punch-man	One-Punch Man
429	one-punch-man	One-Punch Man
430	kurokos-basketball-2	Kuroko's Basketball 2
431	petite-princess-yucie	Petite Princess Yucie
432	captain-harlock-2013	Captain Harlock (2013)
433	school-city-valanoir	School City Valanoir
434	kaitou-saint-tail	Kaitou Saint Tail
435	nyanpire-the-animation	Nyanpire The Animation
436	food-wars-shokugeki-no-souma	Food Wars! Shokugeki no Souma
437	food-wars-shokugeki-no-souma	Food Wars! Shokugeki no Souma
438	food-wars-shokugeki-no-souma	Food Wars! Shokugeki no Souma
439	food-wars-shokugeki-no-souma	Food Wars! Shokugeki no Souma
440	dark-side-cat	Dark Side Cat
441	pokemon-ranger-and-the-temple-of-the-sea	Pokemon Movie 9: Pokemon Ranger and the Temple of the Sea
442	kampfer-picture-drama	Kampfer Picture Drama
443	bungaku-shoujo	Bungaku Shoujo
444	sound-euphonium	Sound! Euphonium
445	sound-euphonium	Sound! Euphonium
446	white-album-2nd-season	White Album 2nd Season
447	hal	Hal
448	good-morning-call	Good Morning Call
449	psychic-wars	Psychic Wars
450	break-blade-doukoku-no-toride	Break Blade Movie 6: Doukoku no Toride
451	i-cant-understand-what-my-husband-is-saying	I Can't Understand What My Husband is Saying
452	i-cant-understand-what-my-husband-is-saying	I Can't Understand What My Husband is Saying
453	boku-wa-tomodachi-ga-sukunai-next	Boku wa Tomodachi ga Sukunai NEXT
454	boku-wa-tomodachi-ga-sukunai-next	Boku wa Tomodachi ga Sukunai NEXT
455	koe-de-oshigoto-the-animation	Koe de Oshigoto! The Animation
456	bobbys-in-deep	Bobby's In Deep
457	inuyasha-the-final-act	InuYasha: The Final Act
458	inuyasha-the-final-act	InuYasha: The Final Act
459	princess-mononoke	Princess Mononoke
460	princess-mononoke	Princess Mononoke
461	princess-mononoke	Princess Mononoke
462	princess-mononoke	Princess Mononoke
463	princess-mononoke	Princess Mononoke
464	mahoromatic-2	Mahoromatic 2
465	birth	Birth
466	strait-jacket	Strait Jacket
467	ultimate-girls	Ultimate Girls
468	canvas-2-niji-iro-no-sketch	Canvas 2 ~Niji Iro no Sketch~
469	strawberry-marshmallow	Strawberry Marshmallow
470	strawberry-marshmallow	Strawberry Marshmallow
471	noragami-ova	Noragami OVA
472	comic-party	Comic Party
473	noragami-aragoto	Noragami Aragoto
474	mobile-suit-gundam-0083-stardust-memory	Mobile Suit Gundam 0083: Stardust Memory
475	speed-grapher	Speed Grapher
476	speed-grapher	Speed Grapher
477	speed-grapher	Speed Grapher
478	full-moon-wo-sagashite	Full Moon wo Sagashite
479	full-moon-wo-sagashite	Full Moon wo Sagashite
480	full-moon-wo-sagashite	Full Moon wo Sagashite
481	diabolik-lovers	Diabolik Lovers
482	diabolik-lovers	Diabolik Lovers
483	diabolik-lovers	Diabolik Lovers
484	diabolik-lovers	Diabolik Lovers
485	diabolik-lovers	Diabolik Lovers
486	diabolik-lovers	Diabolik Lovers
487	diabolik-lovers	Diabolik Lovers
488	diabolik-lovers	Diabolik Lovers
489	diabolik-lovers	Diabolik Lovers
490	diabolik-lovers	Diabolik Lovers
491	okane-ga-nai	Okane ga Nai!
492	okane-ga-nai	Okane ga Nai!
493	bamboo-blade	Bamboo Blade
494	bamboo-blade	Bamboo Blade
495	hinata-no-aoshigure	Hinata no Aoshigure
496	martian-successor-nadesico-prince-of-darkness	Martian Successor Nadesico: Prince Of Darkness
497	pretear	Pretear
498	pretear	Pretear
499	rain-the-little-girl-and-my-letter	Rain, the Little Girl, and My Letter
500	toradora-special	Toradora! Special
501	hidan-no-aria	Hidan no Aria
502	hidan-no-aria	Hidan no Aria
503	hidan-no-aria	Hidan no Aria
504	amon-saga	Amon Saga
505	sentimental-journey	Sentimental Journey
506	devil-survivor-2-the-animation	Devil Survivor 2 The Animation
507	devil-survivor-2-the-animation	Devil Survivor 2 The Animation
508	now-and-then-here-and-there	Now and Then, Here and There
509	now-and-then-here-and-there	Now and Then, Here and There
510	the-old-crocodile	Old Crocodile
511	gekigangar-3	Gekigangar 3
512	kokoro-connect	Kokoro Connect
513	kokoro-connect	Kokoro Connect
514	kokoro-connect	Kokoro Connect
515	kokoro-connect	Kokoro Connect
516	tsubasa-chronicle-torikago-no-kuni-no-himegimi	Tsubasa Chronicle: Torikago no Kuni no Himegimi
517	rail-wars	Rail Wars!
518	rail-wars	Rail Wars!
519	darkstalkers	DarkStalkers
520	animal-treasure-island	Animal Treasure Island
521	ranpo-kitan-game-of-laplace	Ranpo Kitan: Game of Laplace
522	ranpo-kitan-game-of-laplace	Ranpo Kitan: Game of Laplace
523	daitoshokan-no-hitsujikai	Daitoshokan no Hitsujikai
524	otome-wa-boku-ni-koishiteru	Otome wa Boku ni Koishiteru
525	girls-bravo	Girls Bravo
526	girls-bravo	Girls Bravo
527	girls-bravo	Girls Bravo
528	magical-shopping-arcade-abenobashi	Magical Shopping Arcade Abenobashi
529	magical-shopping-arcade-abenobashi	Magical Shopping Arcade Abenobashi
530	mashiro-iro-symphony-the-color-of-lovers	Mashiro-Iro Symphony: The Color of Lovers
531	usaru-san	Usaru-san
532	sakasama-no-patema-beginning-of-the-day	Sakasama no Patema: Beginning of the Day
533	ichi-the-killer-episode-0	Ichi the Killer: Episode 0
534	megazone-23	Megazone 23
535	negima	Negima!?
536	negima	Negima!?
537	mahou-sensei-negima-shiroki-tsubasa-ala-alba	Mahou Sensei Negima! ~Shiroki Tsubasa Ala Alba~
538	re-hamatora	Re: Hamatora
539	asura	Asura
540	zankyou-no-terror	Zankyou no Terror
541	zankyou-no-terror	Zankyou no Terror
542	zankyou-no-terror	Zankyou no Terror
543	zankyou-no-terror	Zankyou no Terror
544	zankyou-no-terror	Zankyou no Terror
545	zankyou-no-terror	Zankyou no Terror
546	umineko-no-naku-koro-ni	Umineko no Naku Koro ni
547	umineko-no-naku-koro-ni	Umineko no Naku Koro ni
548	umineko-no-naku-koro-ni	Umineko no Naku Koro ni
549	umineko-no-naku-koro-ni	Umineko no Naku Koro ni
550	the-fruit-of-grisaia	The Fruit of Grisaia
551	the-fruit-of-grisaia	The Fruit of Grisaia
552	the-fruit-of-grisaia	The Fruit of Grisaia
553	the-fruit-of-grisaia	The Fruit of Grisaia
554	tokyo-project	Tokyo Project
555	dgrayman	D.Gray-man
556	dgrayman	D.Gray-man
557	dgrayman	D.Gray-man
558	ufo-robo-grendizer	UFO Robo Grendizer
559	zero-no-tsukaima-f	Zero no Tsukaima F
560	zero-no-tsukaima-f	Zero no Tsukaima F
561	hoozuki-no-reitetsu	Hoozuki no Reitetsu
562	be-boy-kidnappn-idol	Be-Boy Kidnapp'n Idol
563	nausicaa-of-the-valley-of-the-wind	Nausicaa of the Valley of the Wind
564	nausicaa-of-the-valley-of-the-wind	Nausicaa of the Valley of the Wind
565	maken-ki	Maken-ki!
566	maken-ki	Maken-ki!
567	hanamaru-youchien	Hanamaru Youchien
568	hanamaru-youchien	Hanamaru Youchien
569	eureka-seven-pocket-full-of-rainbows	Eureka Seven: Pocket Full of Rainbows
570	eureka-seven-pocket-full-of-rainbows	Eureka Seven: Pocket Full of Rainbows
571	sword-of-the-stranger	Sword of the Stranger
572	sword-of-the-stranger	Sword of the Stranger
573	sword-of-the-stranger	Sword of the Stranger
574	ano-natsu-de-matteru-special	Ano Natsu de Matteru Special
575	phantom-requiem-for-the-phantom	Phantom ~Requiem for the Phantom~
