	categories_list
Ah! My Goddess	[Comedy, Fantasy, Romance, BasedonaManga, Magic, SuddenGirlfriendAppearance]
Ah! My Goddess (2011)	[BasedonaManga]
Ah! My Goddess TV	[Comedy, Fantasy, Romance, Seinen, BasedonaManga, Magic, SuddenGirlfriendAppearance]
Ah! My Goddess TV Specials	[Comedy, Fantasy, Romance, Seinen, BasedonaManga, Magic]
Ah! My Goddess: Fighting Wings	[Fantasy, Seinen, BasedonaManga, Magic]
Ah! My Goddess: Flights of Fancy	[Comedy, Fantasy, Romance, BasedonaManga, Magic]
Ah! My Goddess: Flights of Fancy Specials	[Comedy, Fantasy, Romance, Seinen, BasedonaManga, Magic]
Ah! My Goddess: The Movie	[Fantasy, Romance, Seinen, BasedonaManga, Magic]
Ahiru no Otegara	[AnimalProtagonists, BlackandWhite, JapaneseAnimeClassicCollection, OriginalWork, Shorts]
Ahiru no Pekkle no Ahiru no Drakestail	[]
Ahiru no Pekkle no Minikui Ahiru no Ko	[]
Ahiru no Pekkle no Sindbad no Bouken	[]
Ai	[Abstract, OriginalWork, Shorts]
Ai City	[SciFi, BasedonaManga, Cyberpunk, PsychicPowers]
Ai Kawashima: Sora wa Koko ni Aru	[]
Ai Mai Mii	[Comedy, BasedonaManga, SchoolClub]
Ai Mai Mii: Mousou Catastrophe	[Comedy, BasedonaManga, SchoolClub]
Ai Mai Mii: Mousou Catastrophe Special	[Comedy, BasedonaManga]
Ai Mai! Moe Can Change!	[Comedy, SciFi, SliceofLife, BasedonaVideoGame]
Ai Monogatari: 9 Love Stories	[Romance, SliceofLife, BasedonaManga, Collections]
Ai Shite Night	[Comedy, Romance, BasedonaManga, Music, RockMusic]
Ai Shoujo Pollyanna Monogatari	[America, BasedonaNovel, WorldMasterpieceTheater]
Ai Tenchi Muyo!	[Comedy, OriginalWork, SchoolLife]
Ai Tenchi Muyo! Recaps	[Comedy, OriginalWork, Recap, SchoolLife]
Ai Yori Aoshi	[Comedy, Harem, Romance, SliceofLife, BasedonaManga, SuddenGirlfriendAppearance]
Ai Yori Aoshi Enishi	[Comedy, Harem, Romance, SliceofLife, BasedonaManga]
Ai Yori Aoshi Enishi: Beautiful Snow	[Comedy, Romance, BasedonaManga]
Ai Yori Aoshi: Yumegatari	[Comedy, Harem, Romance, BasedonaManga]
Ai no Gakkou Cuore Monogatari	[BasedonaNovel, Europe]
Ai no Kusabi	[Drama, SciFi, Shounen-ai, BasedonaLightNovel, SexualContent, Yaoi]
Ai no Kusabi (2012)	[SciFi, BasedonaLightNovel, SexualContent, Yaoi]
Ai no Wakakusa Yama Monogatari	[BasedonaManga]
Ai to Yuuki no Pig Girl Tonde Buurin	[MagicalGirl, Shoujo, BasedonaManga, Magic]
Ai wa KAT-TUN	[OriginalWork]
Aikatsu!	[Shoujo, BasedonaCardGame, Idols, Music, MusicSchool, SchoolLife]
Aikatsu! 2	[Shoujo, BasedonaCardGame, Idols, Music, MusicSchool, SchoolLife]
Aikatsu! 3	[Shoujo, BasedonaCardGame, Idols, Music, MusicSchool, SchoolLife]
Aikatsu! 4	[Shoujo, BasedonaCardGame, Idols, Music, MusicSchool, SchoolLife]
Aikatsu! Music Award: Minna de Shou wo Moracchaima SHOW!	[BasedonaCardGame, Idols, Music]
Aikatsu! The Movie	[Shoujo, BasedonaCardGame, Idols, Music]
Aikatsu! The Movie 2	[Shoujo, BasedonaCardGame, Idols, Music]
Air	[Drama, Fantasy, Romance, BasedonanEroge, BasedonaVisualNovel, Supernatural]
Air Gear	[Action, Comedy, Drama, Ecchi, SciFi, BasedonaManga, Tournaments]
Air Gear: Kuro no Hane to Nemuri no Mori -Break on the Sky-	[Ecchi, BasedonaManga]
Air Gear: Special Trick	[BasedonaManga]
Air Master	[Action, Ecchi, Shounen, BasedonaManga, PantyShots]
Air Movie	[Drama, Fantasy, Romance, BasedonanEroge, BasedonaVisualNovel]
Air Summer Special	[Comedy, Drama, Fantasy, BasedonanEroge, BasedonaVisualNovel]
Aishiteruze Baby	[Drama, Romance, Shoujo, SliceofLife, BasedonaManga, Bullying, Childcare, ComingofAge, EmotionalAbuse, PhysicalAbuse]
Aiura	[Comedy, BasedonaManga, SchoolLife]
Ajimu Kaigan Monogatari	[Drama, Romance, Music]
Ajin	[Horror, BasedonaManga, Supernatural]
Ajin Movie 1: Shoudou	[Horror, BasedonaManga, Supernatural]
Ajin Movie 2	[Horror, BasedonaManga, Supernatural]
Ajin Movie 3	[Horror, BasedonaManga, Supernatural]
Ajin OVA	[Horror, BasedonaManga, Supernatural]
Ajisai Hen	[OriginalWork, Promotional]
Aka-chan to Boku	[Drama, SliceofLife, BasedonaManga, Childcare, SchoolLife]
Akagami no Shirayukihime	[Drama, Fantasy, Romance, BasedonaManga]
Akagami no Shirayukihime (2016)	[Drama, Fantasy, Romance, BasedonaManga]
Akagami no Shirayukihime OVA	[Drama, Fantasy, Romance, SliceofLife, BasedonaManga]
Akage no Anne	[Adventure, Drama, BasedonaNovel, ComingofAge, Countryside, WorldMasterpieceTheater]
Akage no Anne: Green Gables e no Michi	[BasedonaNovel]
Akagi	[Seinen, BasedonaManga, BoardGames, Gambling, HighStakesGames, Mahjong, Psychological, Thriller]
Akahori Gedou Hour Rabuge: Sore Yuke! Gedou Otometai	[Comedy, MagicalGirl, Demons, Magic, OriginalWork]
Akahori Gedou Hour Rabuge: Zettai Seigi Love Pheromone	[Comedy, Ecchi, MagicalGirl, Magic, OriginalWork]
Akai Hayate	[]
Akai Ito	[OriginalWork]
Akakichi no Eleven	[Sports, BasedonaManga, Soccer]
Akame ga Kill!	[Action, Fantasy, Assassins, BasedonaManga, Violence]
Akame ga Kill! Theater	[Comedy, BasedonaManga, Chibi]
Akane Aki: FlashBack	[]
Akane Maniax	[Comedy, Romance, BasedonaVisualNovel, Parody]
Akane-Iro ni Somaru Saka	[Comedy, Ecchi, Harem, Romance, ArrangedMarriage, BasedonanEroge, BasedonaVisualNovel]
Akane-Iro ni Somaru Saka Hardcore	[Comedy, Ecchi, BasedonanEroge, BasedonaVisualNovel]
Akazukin Chacha	[BasedonaManga, Magic, Parody]
Akazukin Chacha OVA	[Comedy, BasedonaManga, Magic, SchoolLife]
Aki Sora	[Ecchi, BasedonaManga, ExplicitSex, Incest, SchoolLife]
Aki Sora: Yume no Naka	[Ecchi, Romance, BasedonaManga, ExplicitSex, Incest]
Aki no Kanade	[AnimeMirai, Music]
Akiba-chan	[SliceofLife, FamilyFriendly, OriginalWork, StopMotionAnimation]
Akikan!	[Comedy, Ecchi, Seinen, BasedonaLightNovel, SuddenGirlfriendAppearance, Superpowers]
Akikan! OVA	[Comedy, Ecchi, Seinen, BasedonaLightNovel]
Akira	[Action, SciFi, BasedonaManga, Cyberpunk, Post-apocalyptic, PsychicPowers, Violence]
Akubi Girl	[Comedy, Fantasy, Magic, OriginalWork]
Akuemon	[BasedonaManga]
Akuma no Riddle	[Action, Shoujo-ai, Assassins, BasedonaManga, SchoolLife]
Akuma no Riddle Special	[BasedonaManga]
Akuma-kun	[BasedonaManga]
Akuu Daisakusen Srungle	[Mecha, SciFi, OriginalWork]
Alakazam the Great	[Adventure, Fantasy, BasedonaNovel, FamilyFriendly, JourneytotheWest]
Aldnoah Zero	[Mecha, SciFi, Military, OriginalWork, Political]
Aldnoah Zero (2015)	[Mecha, SciFi, Military, OriginalWork, Political]
Aldnoah Zero Extra Archives	[Recap]
Alfred J. Quack	[AnimalProtagonists, FamilyFriendly]
Ali Baba to 40-hiki no Touzoku	[Adventure, BasedonaFairyTale, FamilyFriendly]
Alice SOS	[Adventure]
Alice in Cyberland	[SciFi]
Alien Defender Geo-Armor: Kishin Corps	[Mecha, Aliens, BasedonaLightNovel, War, WorldWar2]
Alien Nine	[SciFi, Aliens, BasedonaManga, Psychological, SchoolLife]
All Out!!	[Sports, BasedonaManga]
All Purpose Cultural Cat Girl Nuku Nuku	[Action, Comedy, SciFi, Androids, BasedonaManga, Robots, SchoolLife]
All Purpose Cultural Cat Girl Nuku Nuku Dash!	[Action, Comedy, SciFi, Androids, BasedonaManga, Robots]
All Purpose Cultural Cat Girl Nuku Nuku TV	[Action, Comedy, SciFi, Androids, BasedonaManga, Robots, SchoolLife]
All Purpose Cultural Cat Nuku Nuku Special 1	[BasedonaManga]
All Purpose Cultural Cat Nuku Nuku Special 2	[BasedonaManga]
All That Gundam	[Mecha]
Allison and Lillia	[Aviation, BasedonaLightNovel, Military]
Alps Stories: My Annette	[Drama, SliceofLife, WorldMasterpieceTheater]
Amada Anime Series: Super Mario Brothers	[Adventure, Fantasy, BasedonaVideoGame, FamilyFriendly]
Amaenaideyo!!	[Comedy, Ecchi, Harem, BasedonaManga, GhostHunters, Magic, PantyShots]
Amaenaideyo!! Katsu!!	[Comedy, Ecchi, Harem, BasedonaManga, GhostHunters, Magic, PantyShots]
Amaenaideyo!! Katsu!! Special	[Comedy, Ecchi, BasedonaManga, Nudity, PantyShots]
Amaenaideyo!! Special	[Comedy, Ecchi, BasedonaManga, Nudity]
Amagami SS	[Romance, BasedonaVisualNovel, SchoolLife]
Amagami SS OVA	[Romance, BasedonaVisualNovel, SchoolLife]
Amagami SS Special	[Romance, BasedonaVisualNovel, SchoolLife]
Amagami SS+	[Romance, BasedonaVisualNovel, SchoolLife]
Amagami SS+ Picture Drama	[Romance, BasedonaVisualNovel, PictureDrama, SchoolLife]
Amagami SS+ Specials	[Romance, BasedonaVisualNovel, SchoolLife]
Amagi Brilliant Park	[Comedy, Drama, Fantasy, BasedonaLightNovel, Magic, WorkLife]
Amagi Brilliant Park Special	[Comedy, Fantasy, BasedonaLightNovel, Magic, WorkLife]
Amagi Brilliant Park: Wakuwaku Mini Theater	[Comedy, Fantasy, BasedonaLightNovel, Omake]
Amakage	[Fantasy, Shorts]
Amanchu!	[Shounen, BasedonaManga, SchoolLife]
Amatsuki	[Action, Fantasy, BasedonaManga, FeudalJapan, PersoninaStrangeWorld, Samurai, VirtualReality]
Amazing Nurse Nanako	[Comedy, Ecchi, SciFi, Military, OriginalWork]
Amazing Nuts!	[Collections, DrugUse, Music, OriginalWork]
Ambassador Magma	[BasedonaManga]
Amefuri Kozou	[BasedonaManga]
Amnesia	[Mystery, ReverseHarem, Romance, Shoujo, BasedonanOtomeGame, BasedonaVisualNovel]
Amnesia OVA	[BasedonanOtomeGame, BasedonaVisualNovel, Cafe]
Amon Saga	[Fantasy, OriginalWork]
Amon: Apocalypse of Devilman	[Horror, Demons, ExplicitViolence]
Amuri in Star Ocean	[SciFi, OriginalWork, OuterSpace]
Anata o Zutto Aishiteru	[Adventure, BasedonaNovel, Dinosaurs, FamilyFriendly]
Andersen Douwa - Ningyo Hime	[Romance, BasedonaFairyTale, Mermaids]
Andersen Monogatari Match Uri no Shojo	[]
Android Ana MAICO 2010	[Comedy, Seinen, Androids, BasedonaManga, Robots, WorkLife]
Android Kikaider	[SciFi, Androids, Cyborgs, Robots]
Andromeda Stories	[Action, SciFi, Androids, AnimalAbuse, BasedonaManga, PsychicPowers, Robots, War]
Ane Log	[Comedy, Romance, SliceofLife, BasedonaManga, SchoolLife]
Ane Log: Moyako Nee-san no Honpen wo Tobidashite Tomaranai Monologue	[FlashAnimation]
Ane Log: Moyako Nee-san no Honpen wo Tobidashite Tomaranai Monologue Specials	[PictureDrama]
Anemone	[Drama, Fantasy, OriginalWork, Shorts, Supernatural]
Ange Vierge	[BasedonaCardGame]
Angel Beats!	[Action, Comedy, Drama, OriginalWork, SchoolLife, Supernatural]
Angel Beats! Another Epilogue	[Drama]
Angel Beats! Hell's Kitchen	[Action, Comedy, Supernatural]
Angel Beats! Special	[Comedy, SchoolLife]
Angel Cop	[Action, SciFi, ExplicitViolence, MatureThemes, Nudity, OriginalWork, Police]
Angel Densetsu	[Action, Comedy, BasedonaManga, Delinquents, SchoolLife, Violence]
Angel Heart	[Assassins, BasedonaManga]
Angel Links	[Action, Mercenaries, OuterSpace, SpacePirates]
Angel Sanctuary	[Angels, BasedonaManga, Incest, Reincarnation, Violence]
Angel Tales	[Fantasy, Harem, Romance, Angels, OriginalWork]
Angel Tales 2	[Fantasy, Angels, OriginalWork]
Angel Tales Specials	[Fantasy, Harem, Romance, Angels, OriginalWork]
Angel's Drop	[Fantasy, BasedonaManga, Shorts]
Angel's Egg	[Fantasy, Abstract, OriginalWork]
Angel's Feather	[Fantasy, Shounen-ai, Angels, BasedonaVisualNovel, SchoolLife]
Angelic Layer	[Shoujo, BasedonaManga, Tournaments]
Angelique - Shiroi Tsubasa no Memoire	[Fantasy, ReverseHarem, BasedonanOtomeGame, BasedonaVisualNovel]
Angelique OVA 4	[Fantasy, Shoujo, BasedonanOtomeGame, BasedonaVisualNovel, FamilyFriendly, Magic]
Angelique ~When the Heart Awakens~	[Fantasy, ReverseHarem, Romance, BasedonanOtomeGame, BasedonaVisualNovel]
Angelique: Seichi yori Ai o Komete	[BasedonanOtomeGame, BasedonaVisualNovel]
Ani Tore! EX	[Idols, OriginalWork]
Ani*Kuri15	[Comedy, Collections, OriginalWork]
Anima	[OriginalWork]
Animal Crossing	[Adventure, Fantasy, AnimalProtagonists, BasedonaVideoGame, FamilyFriendly]
Animal Dance	[OriginalWork, Shorts]
Animal Treasure Island	[Adventure, AnimalProtagonists, BasedonaNovel, FamilyFriendly, Pirates]
Animal Yokocho	[Comedy, AnimalProtagonists, BasedonaManga, FamilyFriendly]
Animation Runner Kuromi	[Comedy, AnimeIndustry, OriginalWork, OtakuCulture, Parody, WorkLife]
Animation Runner Kuromi 2	[Comedy, AnimeIndustry, OriginalWork, OtakuCulture, Parody, WorkLife]
Animatrix	[SciFi, BasedonaMovie, Collections, Cyberpunk, Dystopia, Robots]
Anime Himitsu no Hanazono	[BasedonaNovel]
Anime Sanjushi	[Adventure, BasedonaNovel, Historical]
Anime Sanjushi - Aramis no Bouken	[BasedonaNovel]
Anime Tenchou	[OtakuCulture, Parody, Promotional]
Anime Tenchou x Touhou Project	[Crossover]
Anime de Wakaru Shinryounaika	[Comedy, BasedonaManga]
Anime-gatari	[Comedy, OtakuCulture, SchoolClub]
Animentary Ketsudan	[Historical, War, WorldWar2]
Anisava	[Comedy, Romance, SliceofLife, AnimalProtagonists, FlashAnimation, MatureThemes, OriginalWork, WorkLife]
Anju to Zushiou Maru	[BasedonaNovel]
Anmitsu Hime	[BasedonaManga]
Anne no Nikki	[Drama, Historical, WorldWar2]
Ano Hi Mita Hana no Namae o Boku-tachi wa Mada Shiranai.	[Drama, Romance, ComingofAge, noitaminA, OriginalWork, Supernatural]
Ano Hi Mita Hana no Namae o Boku-tachi wa Mada Shiranai. Movie	[Drama, noitaminA, Supernatural]
Ano Hi, Bokura wa Senjou de: Shounenhei no Kokuhaku	[Historical]
Ano Natsu de Matteru	[Drama, Romance, Aliens, OriginalWork, SchoolLife]
Ano Natsu de Matteru Special	[SliceofLife, OriginalWork]
Anoko ni 1000%	[Romance, Shoujo, BasedonaManga]
Another	[Horror, Mystery, BasedonaLightNovel, PhysicalAbuse, Psychological, SchoolLife, Supernatural, Violence]
Another 0-kan	[Mystery, BasedonaLightNovel]
Another: Misaki Mei - Shizuka ni	[BasedonaLightNovel, CGAnimation, FlashAnimation]
Anthology No. 1	[Shorts]
Anthology With Cranes	[OriginalWork, Shorts]
Anti-Magic Academy: The 35th Test Platoon	[Action, Fantasy, BasedonaLightNovel, Magic, Violence]
Antique Bakery	[Comedy, Drama, Shounen-ai, BasedonaManga, FoodandBeverage, LGBTThemes, noitaminA, Restaurants, WorkLife]
Antique Heart	[SchoolLife, Supernatural]
Anyamaru Tantei Kiruminzuu	[MagicalGirl, Shoujo, Magic, OriginalWork]
Ao no Kanata no Four Rhythm	[Fantasy, Romance, BasedonanEroge, BasedonaVisualNovel]
Aoharu x Kikanjuu	[Action, Comedy, Drama, BasedonaManga, Crossdressing, Tournaments]
Aoharu x Kikanjuu Special	[Action, Comedy, BasedonaManga, Crossdressing]
Aoi Blink	[Adventure, Fantasy, BasedonaNovel, FamilyFriendly]
Aoi Bungaku Series	[Fantasy, Horror, BasedonaNovel, Collections, Psychological]
Aoi Hana	[Drama, Romance, Shoujo-ai, BasedonaManga, LGBTThemes, SchoolLife]
Aoi Sekai no Chuushin de	[Action, Ecchi, Fantasy, BasedonaManga, Superpowers, War]
Aoi and Mutsuki: A Pair of Queens	[Action, SciFi, OriginalWork, SpacePirates]
Aoki Densetsu Shoot!	[Romance, Sports, BasedonaManga, LoveTriangle, Soccer]
Aoki Densetsu Shoot! Movie	[Sports, BasedonaManga]
Aoki Hagane no Arpeggio: Ars Nova	[Action, SciFi, BasedonaManga]
Aoki Hagane no Arpeggio: Ars Nova - Kirikumas	[BasedonaManga]
Aoki Hagane no Arpeggio: Ars Nova Cadenza	[Action, SciFi, BasedonaManga]
Aoki Hagane no Arpeggio: Ars Nova DC	[Action, SciFi, BasedonaManga, Recap]
Aoki Uru	[]
Aoki Uru: Overture	[OriginalWork]
Aos	[Abstract, BlackandWhite, OriginalWork, Shorts]
Aoyama Goshou Tanpenshuu	[Romance, SciFi, BasedonaManga, Detectives]
Apartment!	[SliceofLife, OriginalWork, Shorts]
Ape Escape	[Fantasy, BasedonaVideoGame, FamilyFriendly]
Apfelland Monogatari	[]
Apocalypse Zero	[Action, SciFi, BasedonaManga, ExplicitViolence, Nudity, Post-apocalyptic]
Appleseed	[Action, SciFi, BasedonaManga, Cyberpunk, Cyborgs, Police]
Appleseed Alpha	[SciFi, BasedonaManga, CGAnimation]
Appleseed Movie	[Action, SciFi, BasedonaManga, CGAnimation, Cyberpunk, Cyborgs, Police]
Appleseed XIII	[Action, SciFi, BasedonaManga, CGAnimation, Cyberpunk, Cyborgs, Police, Terrorism]
Appleseed XIII Movie 1: Tartaros	[SciFi, BasedonaManga, CGAnimation, Cyberpunk]
Appleseed XIII Movie 2: Ouranos	[SciFi, BasedonaManga, CGAnimation, Cyberpunk]
Appleseed: Ex Machina	[Action, SciFi, BasedonaManga, CGAnimation, Cyberpunk, Cyborgs, Police, Post-apocalyptic, Terrorism]
